long,lat,group,order,region,subregion,lat_trunc,long_trunc
-76.20912170410156,44.04326629638672,2,125,new york,main,44,-76.2
-76.22630310058594,44.05472183227539,2,126,new york,main,44.1,-76.2
-76.24922943115234,44.04899597167969,2,127,new york,main,44,-76.2
-76.26068115234375,44.031803131103516,2,128,new york,main,44,-76.3
-76.26641082763672,44.02607727050781,2,129,new york,main,44,-76.3
-76.237762451171875,44.008888244628906,2,130,new york,main,44,-76.2
-76.243499755859375,43.974510192871094,2,131,new york,main,44,-76.2
-76.26641082763672,43.95732116699219,2,132,new york,main,44,-76.3
-76.283599853515625,43.963050842285156,2,133,new york,main,44,-76.3
-76.30078887939453,43.96878433227539,2,134,new york,main,44,-76.3
-76.3065185546875,44.00315856933594,2,135,new york,main,44,-76.3
-76.3237075805664,44.05472183227539,2,136,new york,main,44.1,-76.3
-76.375274658203125,44.0833740234375,2,137,new york,main,44.1,-76.4
-76.36954498291016,44.112022399902344,2,138,new york,main,44.1,-76.4
-76.34662628173828,44.12921142578125,2,139,new york,main,44.1,-76.3
-76.31224822998047,44.14639663696289,2,140,new york,main,44.1,-76.3
-76.15755462646484,44.20369338989258,2,141,new york,main,44.2,-76.2
-76.04296112060547,44.2552604675293,2,142,new york,main,44.3,-76
-75.97993469238281,44.29536819458008,2,143,new york,main,44.3,-76
-75.9283676147461,44.33547592163086,2,144,new york,main,44.3,-75.9
-75.82523345947266,44.39276885986328,2,145,new york,main,44.4,-75.8
-75.81377410888672,44.415687561035156,2,146,new york,main,44.4,-75.8
-75.790863037109375,44.45006561279297,2,147,new york,main,44.5,-75.8
-75.7793960571289,44.47871398925781,2,148,new york,main,44.5,-75.8
-75.790863037109375,44.49590301513672,2,149,new york,main,44.5,-75.8
-75.7507553100586,44.54174041748047,2,150,new york,main,44.5,-75.8
-75.647613525390625,44.604766845703125,2,151,new york,main,44.6,-75.6
-75.48146057128906,44.719356536865234,2,152,new york,main,44.7,-75.5
-75.286651611328125,44.85686492919922,2,153,new york,main,44.9,-75.3
-75.21790313720703,44.879783630371094,2,154,new york,main,44.9,-75.2
-75.09185028076172,44.93135070800781,2,155,new york,main,44.9,-75.1
-75.03455352783203,44.94853973388672,2,156,new york,main,44.9,-75
-75.00590515136719,44.971458435058594,2,157,new york,main,45,-75
-74.94287872314453,44.9886474609375,2,158,new york,main,45,-74.9
-74.89704132080078,44.99437713623047,2,159,new york,main,45,-74.9
-74.839752197265625,45.011566162109375,2,160,new york,main,45,-74.8
-74.81109619140625,45.011566162109375,2,161,new york,main,45,-74.8
-74.742340087890625,44.99437713623047,2,162,new york,main,45,-74.7
-74.72515869140625,44.99437713623047,2,163,new york,main,45,-74.7
-74.62775421142578,45.00010299682617,2,164,new york,main,45,-74.6
-74.50743103027344,44.99437713623047,2,165,new york,main,45,-74.5
-74.387115478515625,44.99437713623047,2,166,new york,main,45,-74.4
-74.2094955444336,45.00010299682617,2,167,new york,main,45,-74.2
-74.03187561035156,45.00010299682617,2,168,new york,main,45,-74
-73.36151885986328,45.011566162109375,2,169,new york,main,45,-73.4
-73.35578918457031,44.965728759765625,2,170,new york,main,45,-73.4
-73.344329833984375,44.94281005859375,2,171,new york,main,44.9,-73.3
-73.390167236328125,44.868324279785156,2,172,new york,main,44.9,-73.4
-73.390167236328125,44.83395004272461,2,173,new york,main,44.8,-73.4
-73.36724853515625,44.805301666259766,2,174,new york,main,44.8,-73.4
-73.36151885986328,44.78238296508789,2,175,new york,main,44.8,-73.4
-73.37870025634766,44.68497848510742,2,176,new york,main,44.7,-73.4
-73.384429931640625,44.61049270629883,2,177,new york,main,44.6,-73.4
-73.37297058105469,44.57038497924805,2,178,new york,main,44.6,-73.4
-73.37297058105469,44.54746627807617,2,179,new york,main,44.5,-73.4
-73.35005950927734,44.513092041015625,2,180,new york,main,44.5,-73.4
-73.3328628540039,44.472984313964844,2,181,new york,main,44.5,-73.3
-73.3214111328125,44.42142105102539,2,182,new york,main,44.4,-73.3
-73.32714080810547,44.36412048339844,2,183,new york,main,44.4,-73.3
-73.32714080810547,44.306827545166016,2,184,new york,main,44.3,-73.3
-73.32714080810547,44.2724494934082,2,185,new york,main,44.3,-73.3
-73.344329833984375,44.23234176635742,2,186,new york,main,44.2,-73.3
-73.3958969116211,44.19223403930664,2,187,new york,main,44.2,-73.4
-73.41307830810547,44.169315338134766,2,188,new york,main,44.2,-73.4
-73.41880798339844,44.13493728637695,2,189,new york,main,44.1,-73.4
-73.45318603515625,44.066184997558594,2,190,new york,main,44.1,-73.5
-73.4245376586914,44.008888244628906,2,191,new york,main,44,-73.4
-73.4245376586914,43.96878433227539,2,192,new york,main,44,-73.4
-73.41307830810547,43.93440246582031,2,193,new york,main,43.9,-73.4
-73.3958969116211,43.89429473876953,2,194,new york,main,43.9,-73.4
-73.390167236328125,43.854190826416016,2,195,new york,main,43.9,-73.4
-73.390167236328125,43.814083099365234,2,196,new york,main,43.8,-73.4
-73.37297058105469,43.79116439819336,2,197,new york,main,43.8,-73.4
-73.36724853515625,43.77397537231445,2,198,new york,main,43.8,-73.4
-73.37297058105469,43.74532699584961,2,199,new york,main,43.7,-73.4
-73.384429931640625,43.722412109375,2,200,new york,main,43.7,-73.4
-73.40162658691406,43.68803024291992,2,201,new york,main,43.7,-73.4
-73.430267333984375,43.653656005859375,2,202,new york,main,43.7,-73.4
-73.4245376586914,43.579166412353516,2,203,new york,main,43.6,-73.4
-73.40162658691406,43.567710876464844,2,204,new york,main,43.6,-73.4
